Rank,Bank,Year
27,Wells Fargo & Company,2014
28,Allen & Company LLC,2014
29,Qatalyst Partners,2014
30,Macquarie Group (U.S.),2014
31,Oppenheimer & Co.,2014
32,HSBC North America Holdings,2014
33,BNP Paribas USA,2014
34,Nomura Holdings Inc.,2014
35,BMO Capital Markets,2014
36,Bank of New York Mellon Corporation,2014
37,Piper Jaffray Companies,2014
38,Societe Generale Corporate & Investment Banking,2014
39,Deloitte Corporate Finance LLC,2014
40,Brown Brothers Harriman,2014
41,Cantor Fitzgerald,2014
42,Raymond James Financial Inc.,2014
43,Credit Agricole Corporate and Investment Bank,2014
44,Sandler O'Neill + Partners L.P.,2014
45,Stifel Financial Corp.,2014
46,Miller Buckfire & Co. LLC,2014
47,Lloyds Banking Group PLC,2014
48,TD Securities,2014
49,Tudor Pickering Holt & Co.,2014
50,Duff & Phelps Corporation,2014
1,Blackstone,2015
2,Goldman Sachs & Co.,2015
3,Morgan Stanley,2015
4,J.P. Morgan,2015
5,Centerview Partners,2015
6,Evercore,2015
7,Houlihan Lokey,2015
8,Greenhill & Co. Inc.,2015
9,Perella Weinberg Partners,2015
10,Credit Suisse,2015
11,PJ SOLOMON,2015
12,Moelis & Company,2015
13,William Blair,2015
14,Lazard,2015
15,RBC Capital Markets,2015
16,Citi Institutional Clients Group,2015
17,Canaccord Genuity,2015
18,SunTrust Robinson Humphrey,2015
19,UBS,2015
20,Deutsche Bank AG,2015
21,Barclays Investment Bank (Americas),2015
22,Bank of America Corp.,2015
23,Jefferies,2015
24,Guggenheim Securities,2015
25,Rothschild,2015
26,Wells Fargo & Company,2015
27,Allen & Company LLC,2015
28,Qatalyst Partners,2015
29,Oppenheimer & Co.,2015
30,Macquarie Group (U.S.),2015
31,HSBC North America Holdings,2015
32,Nomura Holdings Inc.,2015
33,BNP Paribas USA,2015
34,BMO Capital Markets,2015
35,Piper Jaffray Companies,2015
36,Bank of New York Mellon Corporation,2015
37,Royal Bank of Scotland Group plc,2015
38,Deloitte Corporate Finance LLC,2015
39,Societe Generale Corporate & Investment Banking,2015
40,Brown Brothers Harriman,2015
41,Baird,2015
42,Cantor Fitzgerald,2015
43,KPMG Corporate Finance,2015
44,Raymond James Financial Inc.,2015
45,PwC Corporate Finance LLP,2015
46,Cowen Inc.,2015
47,Sandler O'Neill + Partners L.P.,2015
48,Credit Agricole Corporate and Investment Bank,2015
49,TD Securities,2015
50,Stifel Financial Corp.,2015
1,Blackstone,2016
2,Goldman Sachs & Co.,2016
3,Morgan Stanley,2016
4,Evercore,2016
5,Centerview Partners,2016
6,Houlihan Lokey,2016
7,Greenhill & Co. Inc.,2016
8,J.P. Morgan,2016
9,Perella Weinberg Partners,2016
10,Credit Suisse,2016
11,Bank of America Corp.,2016
12,PJ SOLOMON,2016
13,William Blair,2016
14,Baird,2016
15,UBS,2016
16,Moelis & Company,2016
17,Cowen Inc.,2016
18,RBC Capital Markets,2016
19,Citi Institutional Clients Group,2016
20,Lazard,2016
21,Barclays Investment Bank (Americas),2016
22,Deutsche Bank AG,2016
23,Guggenheim Securities,2016
24,Jefferies,2016
25,Rothschild,2016
26,Wells Fargo & Company,2016
27,Allen & Company LLC,2016
28,Qatalyst Partners,2016
29,Oppenheimer & Co.,2016
30,HSBC North America Holdings,2016
31,Nomura Holdings Inc.,2016
32,Macquarie Group (U.S.),2016
33,BMO Capital Markets,2016
34,Piper Jaffray Companies,2016
35,BNP Paribas USA,2016
36,Bank of New York Mellon Corporation,2016
37,Deloitte Corporate Finance LLC,2016
38,Royal Bank of Scotland Group plc,2016
39,Cantor Fitzgerald,2016
40,Tudor Pickering Holt & Co.,2016
41,KPMG Corporate Finance,2016
42,PwC Corporate Finance LLP,2016
43,Societe Generale Corporate & Investment Banking,2016
44,Brown Brothers Harriman,2016
45,Raymond James Financial Inc.,2016
