Rank,Name (Full),Name,Year
49,Credit Agricole Corporate and Investment Bank,Credit Agricole Corporate and Investment Bank,2012
50,Susquehanna International Group,Susquehanna International Group,2012
1,J.P. Morgan,J.P. Morgan,2013
2,Blackstone,Blackstone,2013
3,Goldman Sachs & Co.,Goldman Sachs,2013
4,Houlihan Lokey,Houlihan Lokey,2013
5,Morgan Stanley,Morgan Stanley,2013
6,Greenhill & Co. Inc.,Greenhill & Co. Inc.,2013
7,Evercore,Evercore,2013
8,Perella Weinberg Partners,Perella Weinberg Partners,2013
9,Centerview Partners,Centerview Partners,2013
10,Credit Suisse,Credit Suisse,2013
11,Lazard,Lazard,2013
12,Jefferies,Jefferies,2013
13,Moelis & Company,Moelis & Company,2013
14,Citi Institutional Clients Group,Citi,2013
15,William Blair,William Blair,2013
16,Gleacher & Company Inc.,Gleacher & Company Inc.,2013
17,Baird,Baird,2013
18,RBC Capital Markets,RBC Capital Markets,2013
19,Cowen Inc.,Cowen Inc.,2013
20,Royal Bank of Scotland Group plc,Royal Bank of Scotland Group plc,2013
21,Piper Jaffray Companies,Piper Jaffray Companies,2013
22,SunTrust Robinson Humphrey,SunTrust Robinson Humphrey,2013
23,Keefe Bruyette & Woods Inc.,Keefe Bruyette & Woods Inc.,2013
24,Deutsche Bank AG,Deutsche Bank,2013
25,Barclays Investment Bank (Americas),Barclays,2013
26,Bank of America Corp.,Bank of America,2013
27,UBS,UBS,2013
28,Rothschild,Rothschild,2013
29,HSBC North America Holdings,HSBC,2013
30,Wells Fargo & Company,Wells Fargo,2013
31,Deloitte Corporate Finance LLC,Deloitte,2013
32,Allen & Company LLC,Allen & Company LLC,2013
33,BNP Paribas USA,BNP Paribas USA,2013
34,Macquarie Group (U.S.),Macquarie Group (U.S.),2013
35,Nomura Holdings Inc.,Nomura Holdings Inc.,2013
36,Oppenheimer & Co.,Oppenheimer & Co.,2013
37,Bank of New York Mellon Corporation,Bank of New York Mellon Corporation,2013
38,Societe Generale Corporate & Investment Banking,Societe Generale Corporate & Investment Banking,2013
39,Cantor Fitzgerald,Cantor Fitzgerald,2013
40,BMO Capital Markets,BMO Capital Markets,2013
41,Lloyds Banking Group PLC,Lloyds Banking Group PLC,2013
42,Brown Brothers Harriman,Brown Brothers Harriman,2013
43,Credit Agricole Corporate and Investment Bank,Credit Agricole Corporate and Investment Bank,2013
44,Standard Chartered Bank (North America),Standard Chartered Bank (North America),2013
45,Raymond James Financial Inc.,Raymond James Financial Inc.,2013
46,Sandler O'Neill + Partners L.P.,Sandler O'Neill + Partners L.P.,2013
47,PJ SOLOMON,PJ SOLOMON,2013
48,Morgan Keegan & Co. Inc.,Morgan Keegan & Co. Inc.,2013
49,Miller Buckfire & Co. LLC,Miller Buckfire & Co. LLC,2013
50,TD Securities,TD Securities,2013
1,Blackstone,Blackstone,2014
2,Goldman Sachs & Co.,Goldman Sachs,2014
3,J.P. Morgan,J.P. Morgan,2014
4,Houlihan Lokey,Houlihan Lokey,2014
5,Evercore,Evercore,2014
6,Morgan Stanley,Morgan Stanley,2014
7,Centerview Partners,Centerview Partners,2014
8,Greenhill & Co. Inc.,Greenhill & Co. Inc.,2014
9,Perella Weinberg Partners,Perella Weinberg Partners,2014
10,Credit Suisse,Credit Suisse,2014
11,PJ SOLOMON,PJ SOLOMON,2014
12,William Blair,William Blair,2014
13,Baird,Baird,2014
14,Lazard,Lazard,2014
15,RBC Capital Markets,RBC Capital Markets,2014
16,Citi Institutional Clients Group,Citi,2014
17,Royal Bank of Scotland Group plc,Royal Bank of Scotland Group plc,2014
18,Cowen Inc.,Cowen Inc.,2014
19,SunTrust Robinson Humphrey,SunTrust Robinson Humphrey,2014
